date,temp_F,rain,dow,is_weekend,search_spend,social_spend,display_spend,ad_spend_total,price_index,promo,conversions,revenue,fulfillment_cost
2023-01-01,32.88357988130243,0,6,1,242.40270313153218,138.05396071829477,99.52616762255042,479.98283147237737,0.9852269224568266,0,0,1646.48782995691,212.65072273334448
2023-01-02,26.303476799200652,0,0,0,225.34539591542,123.65467850705029,103.38672169974326,452.3867961222135,1.0147309514951162,0,2,1387.1144293039424,205.1169933819906
2023-01-03,35.40600918006219,0,1,0,227.78832468061717,128.00858433732648,94.70212660068304,450.49903561862675,0.9970694706241396,0,0,1435.5518967104274,213.6785145931285
2023-01-04,36.51384118364556,1,2,0,185.99138890869492,111.30565090345729,85.8391208631287,383.1361606752809,1.0151740152773843,0,0,1334.027595830114,238.2846063323145
2023-01-05,22.219968052046404,0,3,0,193.9480535649185,98.82389199753152,62.26230394152933,355.03424950397937,1.0025165171444732,0,0,1396.7176392366018,237.01544047961374
2023-01-06,25.635186279956194,0,4,0,177.70248116348083,122.16444221477957,76.1909365862443,376.0578599645047,1.0167953197456843,0,0,1341.769331466559,242.26408001403652
2023-01-07,32.962988490539914,0,5,1,238.1531839422473,136.57186299261528,83.78803276157973,458.51307969644233,1.0055669449904308,0,0,1518.618861433792,253.3306376664346
2023-01-08,30.926986429828617,0,6,1,247.37813870114715,152.0917535759952,98.86771418611791,498.3376064632602,1.0120323266286908,0,0,1664.9590352080038,267.3602598327141
2023-01-09,32.615262206526445,0,0,0,239.2774430979492,130.340114515736,84.2214203737435,453.83897798742873,1.0111909304608833,0,1,1406.5249543745376,224.36579750190853
2023-01-10,28.63171610406617,0,1,0,206.22040165834952,120.08674817346794,81.5198702801144,407.82702011193186,1.0107329106625196,0,0,1501.0737153224852,206.31528020783583
2023-01-11,37.49813401645248,0,2,0,178.94589560059916,112.7845366886596,70.93591494640762,362.6663472356664,1.008479344771827,0,0,1531.8205661226407,229.2850735479325
2023-01-12,37.2007924432544,0,3,0,175.8992221846952,104.16535469794499,73.91219673467383,353.976773617314,1.0031714928388442,0,0,1372.670338502945,241.47853665121687
2023-01-13,33.85909275550062,1,4,0,187.03058795061224,91.4365407786598,75.66233694040157,354.12946566967366,1.0251543469157287,1,0,1532.1152638180254,187.54732951424074
2023-01-14,39.38860543642643,0,5,1,221.0525650200046,130.94754381720372,89.92091837598491,441.92102721319327,0.997430630149041,0,0,1634.7211926043751,198.01542456606074
2023-01-15,36.31969375359631,1,6,1,231.2910111232039,146.60554334741255,89.55944928128403,467.45600375190054,1.0070430764234315,0,0,1353.4420195427087,206.8407606167962
2023-01-16,29.921651889504616,0,0,0,216.39525370256146,136.2775090931038,90.12929834248358,442.8020611381488,1.007648858752076,0,0,1582.4023311328879,229.85935207098316
2023-01-17,36.30398498027348,0,1,0,199.54514815166442,121.78278400534269,81.04990597175437,402.3778381287615,1.0120244075334353,0,2,1834.406156255257,206.94758057269217
2023-01-18,29.91401295973867,1,2,0,170.15726669707945,108.38381124051483,80.35144967075625,358.8925276083506,1.004205273541055,0,0,1328.9248052699531,257.31440620122055
2023-01-19,39.35487697766002,1,3,0,172.74701622901617,101.57642403214481,75.72997417072123,350.0534144318822,1.0121474630558958,0,1,1337.7920413364602,177.03861162261794
